League,Season,Financial_Rank,Team,Market_Value_EUR_m
Bundesliga,2019-2020,1,Bayern Munich,777.33
Bundesliga,2019-2020,2,Borussia Dortmund,654.05
Bundesliga,2019-2020,3,RB Leipzig,570.48
Bundesliga,2019-2020,4,Bayer 04 Leverkusen,398.95
Bundesliga,2019-2020,5,Borussia Mönchengladbach,254.7
Bundesliga,2019-2020,6,TSG 1899 Hoffenheim,226.05
Bundesliga,2019-2020,7,FC Schalke 04,221.58
Bundesliga,2019-2020,8,Hertha BSC,217.2
Bundesliga,2019-2020,9,Eintracht Frankfurt,208.98
Bundesliga,2019-2020,10,VfL Wolfsburg,207.6
Bundesliga,2019-2020,11,SV Werder Bremen,135.13
Bundesliga,2019-2020,12,SC Freiburg,122.65
Bundesliga,2019-2020,13,1.FSV Mainz 05,121.58
Bundesliga,2019-2020,14,FC Augsburg,112.95
Bundesliga,2019-2020,15,1.FC Köln,98.48
Bundesliga,2019-2020,16,Fortuna Düsseldorf,71.78
Bundesliga,2019-2020,17,1.FC Union Berlin,41.2
Bundesliga,2019-2020,18,SC Paderborn 07,28.9
