Team,Total_Cap_Allocations
New York Knicks,101969879
Oklahoma City Thunder,104570165
Sacramento Kings,106822079
Charlotte Hornets,107134070
Detroit Pistons,115013466
Atlanta Hawks,116695055
Orlando Magic,118898403
Dallas Mavericks,125815404
Cleveland Cavaliers,126527288
Chicago Bulls,128065350
Indiana Pacers,129005732
Houston Rockets,129533390
Phoenix Suns,130285572
Boston Celtics,130767745
Denver Nuggets,131820534
New Orleans Pelicans,132616252
Milwaukee Bucks,133224345
Memphis Grizzlies,134245326
Portland Trail Blazers,135448164
Miami Heat,135572405
LA Clippers,137405301
Los Angeles Lakers,138544305
Utah Jazz,138998838
Toronto Raptors,143726386
Philadelphia 76ers,147787869
San Antonio Spurs,150150620
Minnesota Timberwolves,159195461
Washington Wizards,160772292
Brooklyn Nets,168550487
Golden State Warriors,175825052
