model_label,response,term,estimate,std.error,statistic,p.value,conf.low,conf.high
G: OLS — Pos ~ FR * League,League_Position,(Intercept),2.0647058823529503,0.5141374611666291,4.01586353514861,6.382577758453907e-5,1.057014975363497,3.0723967893424033
G: OLS — Pos ~ FR * League,League_Position,Financial_Rank,0.7826625386996896,0.04749820650726806,16.477728239695292,6.099840604546158e-54,0.6895677646151982,0.875757312784181
G: OLS — Pos ~ FR * League,League_Position,LeagueLa Liga,0.1771472938832648,0.7072107229864757,0.25048728494272626,0.8022638556688128,-1.2089602526507601,1.5632548404172897
G: OLS — Pos ~ FR * League,League_Position,LeagueLigue 1,0.09560547717758257,0.7100887971089618,0.13463876287983753,0.8929255680560135,-1.296142990981352,1.487353945336517
G: OLS — Pos ~ FR * League,League_Position,LeaguePremier League,0.04133455122072806,0.7068263460712114,0.05847907544827663,0.9533791363486729,-1.3440196304028902,1.4266887328443465
G: OLS — Pos ~ FR * League,League_Position,LeagueSerie A,-0.9029447041854898,0.7073614710378038,-1.2764968706321205,0.20208703786144652,-2.2893477114708576,0.4834583030998779
G: OLS — Pos ~ FR * League,League_Position,Financial_Rank:LeagueLa Liga,0.0042023325498372986,0.06245626715887343,0.06728440140598853,0.9463692322618052,-0.11820970169036636,0.12661436679004096
G: OLS — Pos ~ FR * League,League_Position,Financial_Rank:LeagueLigue 1,0.008321614458160511,0.06314910563212288,0.13177723381607873,0.8951879632366182,-0.11544835823671579,0.13209158715303682
G: OLS — Pos ~ FR * League,League_Position,Financial_Rank:LeaguePremier League,0.01714304171253699,0.062416750101236276,0.27465450675871445,0.7836404730130091,-0.10519154051792286,0.13947762394299684
G: OLS — Pos ~ FR * League,League_Position,Financial_Rank:LeagueSerie A,0.10592168660965531,0.06250875066749352,1.6945097362942154,0.09049111361525829,-0.016593213417226027,0.22843658663653665
